Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-08-01,31.253792925568746,31.50669435507649,30.739832379166767,31.204843521118164,51624920,0.341556,0.0
2019-08-02,31.20484275184076,31.441428800743086,30.796938711782282,31.000890731811523,29153640,0.0,0.0
2019-08-05,30.805093936229945,30.86220102209371,29.703747211883293,30.152442932128906,46030183,0.0,0.0
2019-08-06,30.3400795189343,30.437978317453908,29.752693288079215,30.144285202026367,31985843,0.0,0.0
2019-08-07,29.89954101432397,30.00559749769242,29.255047707851727,29.84243392944336,32017253,0.0,0.0
2019-08-08,29.940330937877274,30.144286228382207,29.858750789754144,30.079021453857422,23356429,0.0,0.0
2019-08-09,29.997437750773525,30.0463871512515,29.45900090577852,29.65479850769043,25391703,0.0,0.0
2019-08-12,29.62217069048467,29.630328378919234,28.373975477222885,28.871623992919922,44212665,0.0,0.0
2019-08-13,28.90425425543082,29.214262811336017,28.67582914274889,28.716617584228516,45549453,0.0,0.0
2019-08-14,28.496343479147857,28.53713519589168,27.90080278342508,27.933433532714844,38633421,0.0,0.0
2019-08-15,27.982381758685502,28.21081011462319,27.71316496785285,28.129226684570312,30713665,0.0,0.0
2019-08-16,28.32502663411051,28.56161269658483,28.137389977688077,28.267919540405273,30012334,0.0,0.0
2019-08-19,28.45555457316349,28.81451249021963,28.414762857092523,28.700298309326172,21997296,0.0,0.0
2019-08-20,28.63503251690981,28.683981918433965,28.202652150354073,28.23528289794922,19932510,0.0,0.0
2019-08-21,28.504502412019573,28.65134733360532,28.40660361087482,28.44739532470703,19208728,0.0,0.0
2019-08-22,28.520819758469447,28.74109043621699,28.39029020133446,28.618715286254883,16933142,0.0,0.0
2019-08-23,28.72477142388851,28.838985604992697,27.876326032941577,28.015016555786133,27765311,0.0,0.0
2019-08-26,28.24344127052588,28.439238881375967,28.12922709090717,28.42292022705078,17468680,0.0,0.0
2019-08-27,28.56161111956672,28.62687589732175,27.99054021404577,28.015016555786133,24715351,0.0,0.0
2019-08-28,28.03133227914744,28.675825657649497,27.966067500579943,28.618715286254883,26047924,0.0,0.0
2019-08-29,29.19794133962724,29.19794133962724,28.74108792950025,28.822668075561523,19610302,0.0,0.0
2019-08-30,29.05925285102541,29.1408329935599,28.781875118198254,29.002145767211914,18873346,0.0,0.0
2019-09-03,29.051099965357984,29.597694554963255,28.969516529210996,29.467164993286133,26624989,0.0,0.0
