date,interest_rates,exchange_rates,inflation_rates
2000,2.75271332722973,282.179166666667,9.80361016908127
1999,7.60394214515731,237.145833333333,9.99774409303364
1998,4.84125406063794,214.401666666667,14.1537896545341
1997,1.25216870884152,186.789166666667,18.3050744143798
1996,4.41076044801502,152.646666666667,23.4690301919185
1995,4.63616751262162,125.681425,28.3054683706654
